Blue W/L,Blue Side Supp,Blue Side Adc,Red Side Supp,Red Side Adc
0,16,22,412,202
1,43,110,89,119
1,89,63,99,51
1,43,18,412,360
1,25,110,61,22
0,267,202,235,18
0,99,45,25,110
0,26,18,89,67
1,117,22,432,235
1,143,222,37,18
0,80,222,111,360
1,12,67,235,22
0,99,45,89,222
1,555,202,63,67
1,267,30,25,51
0,37,29,99,51
1,26,222,99,15
0,25,145,63,22
0,43,81,350,145
0,43,202,63,67
0,147,235,143,51
0,43,222,99,51
1,63,222,111,236
1,78,34,25,133
1,50,145,267,29
1,12,22,89,81
0,143,18,43,236
1,99,67,161,22
1,412,145,147,81
1,89,67,235,145
0,99,21,117,202
0,45,222,99,110
1,432,145,350,29
1,63,21,16,81
0,39,145,80,429
1,143,202,235,22
1,161,21,99,51
1,89,15,350,51
0,50,202,26,81
0,25,22,63,360
0,350,81,235,498
0,25,18,53,222
1,117,145,25,498
0,147,96,412,21
1,143,145,555,222
1,235,223,53,29
0,50,360,240,202
1,267,119,9,51
1,497,498,63,81
1,50,145,40,498
1,89,145,235,22
1,45,110,57,18
0,518,360,50,15
1,53,145,25,96
1,25,145,3,67
1,432,202,25,222
1,25,51,235,202
1,89,145,99,51
1,40,51,99,202
1,53,429,25,235
1,412,67,25,202
1,99,22,89,222
1,235,145,143,18
0,147,18,50,235
1,50,18,89,360
0,50,518,53,145
1,201,236,12,145
0,412,81,555,15
0,35,81,89,202
1,99,18,412,222
1,63,222,89,81
0,267,29,117,67
0,25,236,526,18
0,50,110,26,126
0,235,51,25,360
1,201,22,412,67
1,43,235,63,360
0,117,81,412,67
1,16,145,53,81
1,53,202,350,67
1,89,18,43,523
0,350,23,89,18
1,161,202,99,235
1,412,29,35,360
0,25,202,53,81
1,412,15,111,360
1,57,202,89,18
0,267,81,35,21
0,555,145,50,202
0,80,51,16,145
1,555,18,25,222
1,518,81,235,67
1,33,29,35,18
0,12,360,117,157
1,25,51,53,119
0,63,51,235,18
0,80,157,40,81
1,43,18,89,21
1,50,360,412,67
1,63,202,235,51
0,40,51,99,360
1,53,22,350,222
0,99,22,111,360
0,117,96,147,81
0,37,21,26,145
0,16,51,161,222
1,432,145,875,50
1,235,2,89,360
0,12,21,432,15
0,63,222,267,18
0,143,51,45,202
1,161,360,25,81
0,89,360,235,29
1,143,202,89,157
0,26,145,497,498
0,526,429,12,81
0,57,15,350,145
1,89,202,432,222
0,99,81,117,222
0,143,145,106,18
1,63,29,147,15
1,101,222,37,15
0,25,18,80,145
1,89,51,25,360
1,412,15,99,18
1,99,15,25,222
0,57,67,267,222
1,25,360,143,51
0,875,22,57,110
0,147,29,235,145
1,412,235,54,18
0,555,18,42,202
0,432,523,99,222
0,111,18,875,22
0,432,22,235,145
0,235,222,12,360
1,99,51,117,81
0,147,498,350,360
0,63,202,117,51
0,25,202,147,119
0,147,18,350,29
1,53,115,27,21
0,26,15,89,21
1,25,145,111,360
1,89,110,43,202
0,37,202,99,29
0,161,145,117,67
0,432,222,161,22
1,266,27,161,22
1,235,202,25,236
1,161,222,25,360
1,143,222,89,119
1,235,147,12,81
0,25,222,63,22
0,111,202,53,222
0,53,360,63,18
0,53,222,40,67
1,63,498,25,202
0,89,22,99,202
0,25,18,147,51
1,875,81,117,96
0,350,67,117,145
0,161,202,89,236
0,53,222,12,145
1,89,81,223,236
1,63,145,235,110
0,44,235,12,157
0,235,145,26,22
1,267,202,117,18
0,26,145,64,81
1,412,360,12,498
0,12,236,89,81
0,350,119,12,81
0,432,22,12,145
0,99,51,432,110
0,526,360,12,67
0,111,222,63,15
0,117,18,25,145
0,25,235,876,360
0,45,145,201,222
0,101,21,143,145
0,412,202,267,222
0,16,222,63,145
1,143,360,117,145
1,43,110,12,81
0,16,22,117,74
0,99,18,37,236
1,161,51,64,202
1,25,222,16,119
0,555,202,25,18
0,25,145,267,21
1,99,202,555,222
1,25,22,89,145
0,412,18,555,202
1,99,81,89,236
1,6,18,31,74
0,99,222,350,202
0,12,18,412,222
0,117,18,111,236
0,147,15,99,21
1,26,81,117,222
1,3,22,53,81
1,89,18,147,110
0,103,18,147,51
1,412,145,432,81
0,412,50,63,222
0,89,29,555,119
0,25,236,267,67
1,45,523,497,235
1,63,22,235,81
0,89,18,117,15
0,267,110,79,202
0,16,21,555,18
1,111,235,143,222
1,412,81,555,51
1,99,67,235,18
0,12,360,555,202
0,350,145,3,360
0,35,202,99,51
0,25,119,555,222
0,432,222,16,15
0,89,67,44,777
1,350,202,147,18
0,99,21,53,67
0,412,119,89,360
0,12,202,81,51
0,25,236,147,81
0,267,145,111,18
1,89,523,201,67
0,235,67,223,96
1,12,18,53,236
1,99,81,161,18
1,350,22,40,110
0,412,236,201,145
0,89,145,25,222
0,350,202,89,51
1,99,21,235,22
0,412,81,40,360
0,235,147,85,15
1,267,15,147,81
0,267,157,432,45
1,111,74,518,777
1,50,67,25,51
1,25,21,117,22
0,147,22,16,85
1,53,360,25,67
1,267,15,117,67
0,63,29,147,21
1,526,222,101,202
1,235,90,147,202
1,3,145,99,222
0,111,145,57,15
0,53,81,34,22
1,80,360,99,18
1,555,67,25,55
1,35,360,117,81
0,412,81,40,22
0,267,15,25,51
0,16,145,53,21
1,235,50,26,18
0,117,110,267,18
1,89,145,34,202
1,412,15,50,202
0,3,222,50,110
1,53,110,25,222
1,117,81,63,15
0,432,222,21,15
0,53,22,518,18
0,89,202,25,81
1,412,236,43,15
1,25,202,497,15
0,147,81,43,29
1,43,15,350,235
1,143,51,12,18
0,111,235,25,81
0,267,110,43,18
1,12,22,99,51
0,147,235,432,202
1,63,51,147,29
1,117,67,12,21
